알바명,알바설명,지역,지역세부,급여종류,금액,시간,주소
명진맨파워에이전시,[석계역_천호역]힘든상하차아닙니다_쉬운분류스캔 롤테이너_당일지급_석식왕복셔틀,서울,중랑구,일급,146125,17:00~03:00,http://www.alba.co.kr/job/Detail.asp?adid=97317495
DB손해보험 전주 사업단,일급7만원 / 1일(3시간)단기 / 보장분석 일일 설문조사원 모 [전주지역],전북,전주시,일급,70000,09:00~12:00,http://www.alba.co.kr/job/Detail.asp?adid=96929922
웅진코웨이(주)-신논현지점,- 시급만원 단순전화상담 아르바이트 -,서울,서초구,시급,10000,13:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97243301
맥주터전,일요일 면접근무가능] 당일지급 [방학알바/단기] 퇴근지원/주2-5일,대구,동구,일급,100000,21:00~04:00,http://www.alba.co.kr/job/Detail.asp?adid=97017344
나우디엔지(청주),+급구+단기알바【12/14~16일】행사진행요원[식사제공]카페테리아/주차,충북,청주시,일급,60000,08:00~16:00,http://www.alba.co.kr/job/Detail.asp?adid=97285977
나우디엔지(강릉),+급구+단기알바【12/14~15일】행사진행요원[식사제공]카페테리아/주차,강원,강릉시,일급,60000,08:00~16:00,http://www.alba.co.kr/job/Detail.asp?adid=97285919
N.Tomato,[퇴근지원] 이직은 와도 나가지는 않는 매장 [당일지급/친구동반/방학단기],대구,중구,일급,220000,20:30~04:00,http://www.alba.co.kr/job/Detail.asp?adid=97017484
한겨레교육문화연구원,중고등대상 자기주도학습 기숙캠프 멘토모집 한겨레신문 한겨레캠프,서울,전체,월급,1250000,09:00~23:00,http://www.alba.co.kr/job/Detail.asp?adid=97300635
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",인천,남동구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221822
쑥꿀레,"[시급9000] 목동 현대백화점(행사장) (판매, 업무보조 보건증필",서울,양천구,시급,9000,10:30~20:30,http://www.alba.co.kr/job/Detail.asp?adid=97318432
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,성남시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221811
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",서울,노원구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221801
미립나길,일산 킨텍스 행사 진행 STAFF 모집,경기,전체,일급,72000,08:00~19:00,http://www.alba.co.kr/job/Detail.asp?adid=97306382
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",서울,마포구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221787
아이디헤어운정목동점,롱스타일헤어모델 구함,경기,고양시,일급,40000,13:00~15:00,http://www.alba.co.kr/job/Detail.asp?adid=97300287
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,시흥시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221776
삼부직업소개소,당일지급,서울,성북구,일급,120000,07:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97299128
삼부직업소개소,당일지급,서울,은평구,일급,120000,07:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97299202
(주)OK,"당일지급 하차, 소화물분류, 중분류 알바모집",대구,중구,일급,139863,19:00~07:20,http://www.alba.co.kr/job/Detail.asp?adid=97317361
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,안양시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221763
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",경기,성남시,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299226
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",서울,광진구,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299233
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",서울,강동구,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299229
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",서울,동대문구,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299235
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",서울,송파구,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299234
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",서울,송파구,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299232
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",서울,송파구,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299231
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",서울,강동구,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299230
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",경기,성남시,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299228
스토리bar,"【010-4444-2446】 당일지급/초보/투잡/단기/출,퇴근자유 시급최강",경기,성남시,시급,35000,00:00~24:00,http://www.alba.co.kr/job/Detail.asp?adid=97299227
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,안산시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221743
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",서울,마포구,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97296013
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",서울,구로구,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97296006
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",서울,동작구,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97295996
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",경북,구미시,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97295987
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",대구,중구,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97295981
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",충남,천안시,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97295978
와이씨 컴퍼니(직영5팀),"홈쇼핑/택배 야간물류센터 상,하차 인원모집 최대15만원 당일지급",대전,서구,일급,153732,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97295970
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,고양시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221733
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,경기,성남시,건별,990000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295079
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,인천,남동구,건별,1500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295067
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,서울,강남구,건별,4500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295070
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,서울,강서구,건별,4500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295069
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,서울,성북구,건별,4500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295074
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,서울,영등포구,건별,4500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295075
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,서울,강북구,건별,4500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295076
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,서울,구로구,건별,4500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295073
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,경기,안산시,건별,930000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295078
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,서울,마포구,건별,4500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295071
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,경기,안양시,건별,930000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97295072
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",서울,관악구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221627
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",서울,강서구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221618
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,부천시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221610
아이디헤어화정2호점,롱레이어드컷 모델 구합니다,경기,고양시,일급,50000,13:00~15:00,http://www.alba.co.kr/job/Detail.asp?adid=97316947
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,수원시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221599
생각대로 화곡지사,[월300 이상/일 15만원]강서구 배달대행/투잡가능/각종 지원금 지급중,서울,강서구,일급,150000,11:00~23:00,http://www.alba.co.kr/job/Detail.asp?adid=96948902
(주)늘푸른에이치알,[가재울역]2주3주단기 의류/여성용의류 포장/어렵지 않은일들/선택가능,인천,미추홀구,일급,71800,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97286634
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",인천,부평구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221590
경성패션,[수원역 지점] 스카프 판매 마감조 주휴수당포함 10.050원,경기,수원시,시급,10500,09:50~21:10,http://www.alba.co.kr/job/Detail.asp?adid=97296687
좋은사람들,[당일지급] 노보텔앰배서더호텔 동대문점 하우스맨 아르바이트,서울,전체,일급,74500,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97307689
경성패션,[영등포 지점] 스카프 판매 /오픈조 단기 및 장기 알바모집,서울,영등포구,시급,10050,09:50~16:00,http://www.alba.co.kr/job/Detail.asp?adid=97296411
경성패션,[영등포 지점] 스카프 판매 /오픈조 단기 및 장기 알바모집,서울,영등포구,시급,10050,09:50~16:00,http://www.alba.co.kr/job/Detail.asp?adid=97296353
한성,"부산 남양산 롯데택배상하차,스캔및분류/일당 108,700원",부산,전체,일급,108710,18:00~06:00,http://www.alba.co.kr/job/Detail.asp?adid=97310717
제이케이테크,위탁판매 영업 및 전단지 배포,경기,안산시,시급,8350,10:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97314400
사람이 힘이다,야간 상하차 중분류 (16만원),경북,구미시,일급,160000,07:30~08:00,http://www.alba.co.kr/job/Detail.asp?adid=97305199
사람이 힘이다,야간 상하차 중분류 (16만원),전북,군산시,일급,160000,07:00~08:00,http://www.alba.co.kr/job/Detail.asp?adid=97305108
사람이 힘이다,야간 상하차 중분류 (16만원),경북,김천시,일급,160000,07:00~08:00,http://www.alba.co.kr/job/Detail.asp?adid=97305127
그랜드인터콘티넨탈 서울 파르나스 호텔,[삼성역-인터컨티넨탈 호텔] 14시조 연회서빙 꿀일일알바,서울,강남구,시급,10100,14:00~23:00,http://www.alba.co.kr/job/Detail.asp?adid=97259622
사람이 힘이다,야간 상하차 중분류 (16만원),충남,천안시,일급,160000,07:00~08:00,http://www.alba.co.kr/job/Detail.asp?adid=97305295
사람이 힘이다,야간 상하차 중분류 (16만원),대구,북구,일급,160000,07:30~08:00,http://www.alba.co.kr/job/Detail.asp?adid=97305152
사람이 힘이다,야간 상하차 중분류 (16만원),대전,전체,일급,160000,07:00~08:00,http://www.alba.co.kr/job/Detail.asp?adid=97305173
사람이 힘이다,야간 상하차 중분류 (16만원),전북,익산시,일급,160000,07:00~08:00,http://www.alba.co.kr/job/Detail.asp?adid=97305254
MOA AGENCY,[익일지급] 시디케이스 조립 및 포장 / 초보가능,경기,고양시,일급,98200,09:00~21:00,http://www.alba.co.kr/job/Detail.asp?adid=97313453
(주)모아,[익일지급] 시디케이스 조립 및 포장 / 초보가능,서울,은평구,일급,98200,09:00~21:00,http://www.alba.co.kr/job/Detail.asp?adid=97313444
한국미래인재능력개발원,[일급 10만] 충남예산 스플라스리솜 행사진행요원 2명 급구,충남,예산군,일급,100000,10:00~19:00,http://www.alba.co.kr/job/Detail.asp?adid=97313139
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",서울,강남구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221722
파란경호,시급최강 꿀알바 김포 프리미엄아울렛 단기 매장보안 모집합니다.,서울,강서구,일급,90000,12:00~20:00,http://www.alba.co.kr/job/Detail.asp?adid=97298826
농업회사법인 (주)프레쉬벨,[홈플러스 경산점 ] 유아용 음료시음및 판매행사 아르바이트 모집,경북,경산시,일급,80000,10:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97312040
참라이팅,단기 아르바이트 모집,부산,전체,일급,67000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97311892
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,충북,청주시,건별,3000000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97311334
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,세종,도담동,건별,3000000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97311335
동서인력개발,건설현장자재정리및기타(남),대구,전체,일급,120000,07:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97310384
주식회사 에스에이치,단골손님에서 단기 아르바이트 급구합니다.,대구,중구,시급,8500,19:00~03:00,http://www.alba.co.kr/job/Detail.asp?adid=97309823
대웅직업소개소,옥천 콘솔물류/일당 15만원 전후지급/ 소형상품 취급업무/ 100프로 출근,충북,청주시,일급,150000,19:00~08:30,http://www.alba.co.kr/job/Detail.asp?adid=97305764
대웅직업소개소,옥천 콘솔물류 / 일당 15만원전후 / 소형상품 취급업무/ 100프로 출근,충북,청주시,일급,150000,19:00~08:30,http://www.alba.co.kr/job/Detail.asp?adid=97305727
대웅직업소개소,옥천 콘솔물류/일당 15만원 전후지급/ 소형상품 취급업무/ 100프로 출근,충북,청주시,일급,150000,19:00~08:30,http://www.alba.co.kr/job/Detail.asp?adid=97305825
대웅직업소개소,옥천 콘솔물류/ 일당 15만원 전후지급/ 소형상품 취급업무/ 100프로 출근,충북,청주시,일급,150000,19:00~08:30,http://www.alba.co.kr/job/Detail.asp?adid=97305789
대웅직업소개소,옥천콘솔물류/일당 15만원 전후지급 / 가장 편한현장 / 100프로 출근,대전,서구,일급,150000,19:00~08:30,http://www.alba.co.kr/job/Detail.asp?adid=97305867
대웅직업소개소,일당 15만원 전후 / 영남대역 탑승 /소형 상품 취급장 /옥천 콘솔물류,경북,경산시,일급,150000,19:00~08:30,http://www.alba.co.kr/job/Detail.asp?adid=97300186
빵빵 배달대행 동작구 배달,[동작배달] 일15만원 이상 / 동작구 배달대행/월 300~500만원 이상,서울,동작구,일급,150000,11:00~23:00,http://www.alba.co.kr/job/Detail.asp?adid=96903519
빵빵 배달대행 관악구 배달,[관악배달] 일15만원 이상 / 관악구 배달대행/월 300~500만원 이상,서울,관악구,일급,150000,11:00~23:00,http://www.alba.co.kr/job/Detail.asp?adid=96903424
캣츠bar,"『시흥 건전모던바』bar알바 여직원&알바 모집/평일,주말/건전바/단기알바",경기,안산시,시급,17000,20:00~02:00,http://www.alba.co.kr/job/Detail.asp?adid=97012730
바스키아bar,여의도/초보가능/파트알바/당일지급/하루알바/출퇴자유/시급4만/방학알바,서울,영등포구,시급,40000,19:30~03:00,http://www.alba.co.kr/job/Detail.asp?adid=97085894
온bar,『홍대 모던바』당일지급/단기알바/홍대알바/홍대모던bar(하루알바/주말알바),서울,마포구,시급,35000,19:00~05:00,http://www.alba.co.kr/job/Detail.asp?adid=97283909
Daisy Bar,[신림역모던바]면접비/단기알바/현금당일지급/bar처음이신분들 신경써드려요,서울,관악구,시급,40000,12:00~01:00,http://www.alba.co.kr/job/Detail.asp?adid=97306270
BAR 골드,광고 모두 함정이에요ㅠㅠ믿지말구 문의라도 주세요 제발 딱한번이라도ㅠ,부산,해운대구,일급,250000,19:30~01:30,http://www.alba.co.kr/job/Detail.asp?adid=97151307
GS슈퍼 진주평거점 / ㈜주원산,"[2일단기/일급9만]GS슈퍼 진주평거점 훈제오리 시식,판촉 (보건증必)",경남,진주시,일급,90000,12:00~21:00,http://www.alba.co.kr/job/Detail.asp?adid=97269636
GOLD BAR,[초보대환영꿀알바]당일지급 출퇴근자유 단기알바투잡주말알바 친구함께가능복장자유,서울,강남구,일급,210000,20:00~04:00,http://www.alba.co.kr/job/Detail.asp?adid=96985272
(주)에스탑,"[시급 12,000원]한국가스공사.서울본부 남자 미화 직원 모집",서울,강서구,시급,12000,06:00~15:00,http://www.alba.co.kr/job/Detail.asp?adid=96938190
㈜[하림]엔바이콘-판교점,"시급8,400원/16(월,수)신분당선 판교역 음식점매장 서빙보조 일일알바",경기,성남시,시급,8400,11:00~21:00,http://www.alba.co.kr/job/Detail.asp?adid=97306088
씨엘스 쿠팡 송파캠프,[당일근무/주급] 쿠팡 송파캠프 저녁조 헬퍼 모집,서울,전체,일급,31500,18:30~22:00,http://www.alba.co.kr/job/Detail.asp?adid=97282291
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,구리시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221542
시루연 푸른마을외식,푸른마을외식사업   배식운전원선착순모집,광주,광산구,시급,10000,11:30~14:40,http://www.alba.co.kr/job/Detail.asp?adid=97279312
LVMH,[5일 단기] 화장품 판매아르바이트 모집,전남,순천시,시급,9000,11:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97279193
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,용인시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221514
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",경기,남양주시,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221509
에스,모던barㅡ초보환영/투잡/당일지급/퇴근지원,서울,강남구,일급,240000,20:30~03:30,http://www.alba.co.kr/job/Detail.asp?adid=97274165
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",서울,중구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221501
한국화장품,"[~12/27, 일8만] 음성/화장품포장/단기가능",충북,청주시,일급,80000,08:20~17:30,http://www.alba.co.kr/job/Detail.asp?adid=97282095
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",서울,강동구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97221492
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,경기,성남시,건별,1500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97278274
캐스트룩,[단기]투잡 - 시험 참여자 모집 (전국-지역별) 지원바랍니다.,인천,부평구,건별,1500000,11:00~17:00,http://www.alba.co.kr/job/Detail.asp?adid=97278285
라구나,가족분모십니다,경기,의정부시,월급,2300000,시간협의1주일이하,http://www.alba.co.kr/job/Detail.asp?adid=97308743
(주)알파모델에이전시,"[주급/초보] 드라마 영화 CF (보조출연),(연기자)성인,청소년 大모집",서울,양천구,일급,120000,09:00~18:00,http://www.alba.co.kr/job/Detail.asp?adid=97220980
